chapter,title,source_locator,char_count,status
1,小镇早晨,原文/原文.txt:L1-L159,7974,ok
2,龙血战士家族（上）,原文/原文.txt:L160-L235,3263,ok
3,龙血战士家族（下）,原文/原文.txt:L236-L300,3183,ok
4,成长（上）,原文/原文.txt:L301-L368,3013,ok
5,成长（下）,原文/原文.txt:L369-L422,2319,ok
6,盘龙戒指（上）,原文/原文.txt:L423-L469,2115,ok
7,盘龙戒指（下）,原文/原文.txt:L470-L521,2015,ok
8,魔兽‘迅猛龙’（上）,原文/原文.txt:L522-L574,2328,ok
9,魔兽‘迅猛龙’（下）,原文/原文.txt:L575-L627,2211,ok
10,火蛇之舞（上）,原文/原文.txt:L628-L678,2038,ok
11,火蛇之舞（下）,原文/原文.txt:L679-L737,2405,ok
12,强者之心（上）,原文/原文.txt:L738-L795,2157,ok
13,强者之心（下）,原文/原文.txt:L796-L848,2690,ok
14,天空中的战斗（上）,原文/原文.txt:L849-L903,2543,ok
15,天空中的战斗（下）,原文/原文.txt:L904-L956,2230,ok
16,灾难（上）,原文/原文.txt:L957-L1018,2498,ok
17,灾难（下）,原文/原文.txt:L1019-L1070,2268,ok
18,盘龙之灵（上）,原文/原文.txt:L1071-L1129,2320,ok
19,盘龙之灵（下）,原文/原文.txt:L1130-L1185,2364,ok
20,地系魔法（上）,原文/原文.txt:L1186-L1241,2471,ok
21,地系魔法（下）,原文/原文.txt:L1242-L1288,2211,ok
22,春去秋来（上）,原文/原文.txt:L1289-L1344,2646,ok
23,春去秋来（下）,原文/原文.txt:L1345-L1418,2945,ok
